question_code,ans1_body,ans2_body,ans3_body,ans1_b,ans1_a,ans2_b,ans2_a,ans_explanation,ans_image,ans_correct
GFA1LC1TDQ1,6b ,,,,,,,explanation,,
GFA1LC1TDQ2,2x + 5 ,,,,,,,explanation,,
GFA1LC1TSQ1,3(x + 5),,,,,,,explanation,,
GFA1LC1TSQ2,y,,,,,,,explanation,,
GFA1LC2TDQ1,-4f,,,,,,,explanation,,
GFA1LC2TDQ2,18a²,,,,,,,explanation,,
GFA1LC2TDQ3,4a²,,,,,,,explanation,,
GFA1LC2TSQ1,2c + 2d + 9,,,,,,,explanation,,
GFA1LC2TSQ2,-3ab11,,,,,,,explanation,,
GFA1LC2TSQ3,2n-2,,,,,,,explanation,,
GFA1LC3TDQ1,-24x² +  12x²,,,,,,,explanation,,
GFA1LC3TDQ2,10x + 10y ,,,,,,,explanation,,
GFA1LC3TDQ3,10x² + 12x – 16,,,,,,,explanation,,
GFA1LC3TSQ1,6r² - 12r ,,,,,,,explanation,,
GFA1LC3TSQ2,15n + 23 ,,,,,,,explanation,,
GFA1LC3TSQ3,x² -4x +4 ,,,,,,,explanation,,
GFA1LC4TDQ1,4x(x – 2y),,,,,,,explanation,,
GFA1LC4TDQ2,(x + 5)(x – 8),,,,,,,explanation,,
GFA1LC4TSQ1,5x(x + 3),,,,,,,explanation,,
GFA1LC4TSQ2,(x + 7)(x + 9),,,,,,,explanation,,
GFA1LC5TDQ1,−4,,,,,,,explanation,,
GFA1LC5TDQ2,0.5,,,,,,,explanation,,
GFA1LC5TDQ3,2,,,,,,,explanation,,
GFA1LC5TSQ1,7,3,,,,,,explanation,,
GFA1LC5TSQ2,-1,,,,,,,explanation,,
GFA1LC5TSQ3,3,,,,,,,explanation,,
GFA1LC6TDQ1,4.5,,,,,,,explanation,,
GFA1LC6TDQ2,30,,,,,,,explanation,,
GFA1LC6TSQ1,11,,,,,,,explanation,,
GFA1LC6TSQ2,12,,,,,,,explanation,,
GFA1LC7TDQ1,31,,,,,,,explanation,,
GFA1LC7TDQ2,19.6 ,,,,metres,,,explanation,,
GFA1LC7TDQ3, 4 – 2b,,,a =,,,,explanation,,
GFA1LC7TSQ1,15,,,,,,,explanation,,
GFA1LC7TSQ2,21,,,,,,,explanation,,
GFA1LC7TSQ3, 5y – 2c + 4 ,,,x =,,,,explanation,,
GFA1LC8TDQ1,3,,,,,,,explanation,,
GFA1LC8TDQ2,b>2 ,,,,,,,explanation,,
GFA1LC8TSQ1,3,,,,,,,explanation,,
GFA1LC8TSQ2,b>2 ,,,,,,,explanation,,
