question_code,ans1_body,ans2_body,ans3_body,ans1_b,ans1_a,ans2_b,ans2_a,ans_explanation,ans_image
GFG2LC1TDQ1,8.5,1,,,cm,,,explanation,
GFG2LC1TDQ2,9.5,,,,m,,,explanation,
GFG2LC1TSQ1,75 ,,,,miles,,,explanation,
GFG2LC1TSQ2,16.1,,,,cm,,,explanation,
GFG2LC2TDQ1,26.4,,,,°,,,explanation,
GFG2LC2TDQ2,8.09,,,,cm,,,explanation,
GFG2LC2TSQ1,59.0,,,,°,,,explanation,
GFG2LC2TSQ2,3.86,,,,cm,,,explanation,
GFG2LC3TDQ1,Circle ,,,,,,,explanation,
GFG2LC3TDQ2,156,,,,° ,,,explanation,
GFG2LC3TSQ1,3.3,,,,°,,,explanation,
GFG2LC3TSQ2,45,,,,°,,,explanation,
GFG2LC4TDQ1,"[ 2, 4 ]",4,,,,,,explanation,
GFG2LC4TDQ2,"[12, -4]",-4,,,,,,explanation,
GFG2LC4TSQ1,"[3, -2]",-2,,,,,,explanation,
GFG2LC4TSQ2,"[9, 3]",3,,,,,,explanation,
GFG2LC5TDQ1,225,,,,°,,,explanation,
GFG2LC5TDQ2,057,,,,°,,,explanation,
GFG2LC5TSQ1,45,,,,°,,,explanation,
GFG2LC5TSQ2,237,,,,°,,,explanation,
GFG2LC6TDQ1,diagram,,,,,,,explanation,
GFG2LC6TDQ2,"[ 10, 8]",8,,,,,,explanation,
GFG2LC6TSQ1,diagram,,,,,,,explanation,
GFG2LC6TSQ2,"[ -9, -7]",-7,,,,,,explanation,
GFG2LC7TDQ1,diagram,,,,,,,explanation,
GFG2LC7TDQ2,A reflection in the line y = 3,,,,,,,explanation,
GFG2LC7TSQ1,diagram,,,,,,,explanation,
GFG2LC7TSQ2,A reflection in the line y = x,,,,,,,explanation,
GFG2LC8TDQ1,diagram,,,,,,,explanation,
GFG2LC8TDQ2,"A rotation 180° about the point (1,3).",,,,,,,explanation,
GFG2LC8TSQ1,diagram,,,,,,,explanation,
GFG2LC8TSQ2,"A rotation  90° cw about the origin (0,0).",,,,,,,explanation,
GFG2LC9TDQ1,diagram,,,,,,,explanation,
GFG2LC9TDQ2,"Enlargement, by scale factor 1/3, ",,,,,,,explanation,
GFG2LC9TSQ1,diagram,,,,,,,explanation,
GFG2LC9TSQ2,"Enlargement, by scale factor 1/3, from centre (7,-4) ",,,,,,,explanation,
GFG2LC10TDQ1,0,,,,,,,explanation,
GFG2LC10TDQ2,78,,,,°,,,explanation,
GFG2LC10TSQ1,yes,,,,,,,explanation,
GFG2LC10TSQ2,yes,,,,,,,explanation,
