question_code,ans1_body,ans2_body,ans3_body,ans1_b,ans1_a,ans2_b,ans2_a,ans_explanation,ans_image
GFN1LC1TDQ1,18.16,1,1,,,,,explanation,
GFN1LC1TDQ2,6.525,,,,,,,explanation,
GFN1LC1TDQ3,6.62,,,,,,,explanation,
GFN1LC1TSQ1,6.14,,,,,,,explanation,
GFN1LC1TSQ2,3.59,,,,,,,explanation,
GFN1LC1TSQ3,5.71,,,,,,,explanation,
GFN1LC2TDQ1,55 962 856,,,,,,,explanation,
GFN1LC2TDQ2,10 million ,,,,,,,explanation,
GFN1LC2TDQ3,100.025,,,,,,,explanation,
GFN1LC2TSQ1,619 000,,,,,,,explanation,
GFN1LC2TSQ2,1 million,,,,,,,explanation,
GFN1LC2TSQ3,6 040.9,,,,,,,explanation,
GFN1LC3TDQ1,-4,,,,,,,explanation,
GFN1LC3TDQ2,-13,,,,,,,explanation,
GFN1LC3TDQ3,8,,,,,,,explanation,
GFN1LC3TSQ1,-50,,,,,,,explanation,
GFN1LC3TSQ2,24,,,,,,,explanation,
GFN1LC3TSQ3,1,,,,,,,explanation,
GFN1LC4TDQ1,45630,,,,,,,explanation,
GFN1LC4TDQ2,0.033,,,,,,,explanation,
GFN1LC4TDQ3,8,,,,,,,explanation,
GFN1LC4TSQ1,559,,,,,,,explanation,
GFN1LC4TSQ2,0.11,,,,,,,explanation,
GFN1LC4TSQ3,6.5,,,,,,,explanation,
GFN1LC5TDQ1,16,,,,,,,explanation,
GFN1LC5TDQ2,12,,,,,,,explanation,
GFN1LC5TDQ3,-64,,,,,,,explanation,
GFN1LC5TSQ1,25,,,,,,,explanation,
GFN1LC5TSQ2,3,,,,,,,explanation,
GFN1LC5TSQ3,-9,,,,,,,explanation,
GFN1LC6TDQ1,32,,,,,,,explanation,
GFN1LC6TDQ2,3¹⁰,,,,,,,explanation,
GFN1LC6TDQ3,1      ,49      ,,,,,,explanation,
GFN1LC6TSQ1,7 ⁴,,,,,,,explanation,
GFN1LC6TSQ2,29,,,,,,,explanation,
GFN1LC6TSQ3,1      ,27      ,,,,,,explanation,
GFN1LC7TDQ1,12,,,,,,,explanation,
GFN1LC7TDQ2,16,,,,,,,explanation,
GFN1LC7TDQ3,(7- 2) x (6+ 3)= 45,,,,,,,explanation,
GFN1LC7TSQ1,32,,,,,,,explanation,
GFN1LC7TSQ2,31,,,,,,,explanation,
GFN1LC7TSQ3,3 x (4 + 1) = 15,,,,,,,explanation,
GFN1LC8TDQ1,0.2,,,,,,,explanation,
GFN1LC8TDQ2,1.5,,,,,,,explanation,
GFN1LC8TDQ3,20,,,,,,,explanation,
GFN1LC8TSQ1,57.5,,,,,,,explanation,
GFN1LC8TSQ2,34 000,,,,,,,explanation,
GFN1LC8TSQ3,60000,,,,,,,explanation,
GFN1LC9TDQ1,2,,,,,,,explanation,
GFN1LC9TDQ2,50,100,150,,,,,explanation,
GFN1LC9TDQ3,1,13,,,,,,explanation,
GFN1LC9TSQ1,No,,,,,,,explanation,
GFN1LC9TSQ2,5,10,15,,,,,explanation,
GFN1LC9TSQ3,1,2,4,,,,,explanation,
GFN1LC10TDQ1,2 X 2 X 3 X 5,,,,,,,explanation,
GFN1LC10TDQ2,12,,,,,,,explanation,
GFN1LC10TDQ3,720,,,,,,,explanation,
GFN1LC10TSQ1,2x2x2x2x3x3,,,,,,,explanation,
GFN1LC10TSQ2,10,,,,,,,explanation,
GFN1LC10TSQ3,400,,,,,,,explanation,
