question_code,ans1_body,ans2_body,ans3_body,ans1_b,ans1_a,ans2_b,ans2_a,ans_correct,ans_explanation,ans_image
GFN2LC1TDQ1,45.05,,,,,,,,explanation,
GFN2LC1TDQ2,0.17,,,,,,,,explanation,
GFN2LC1TDQ3,14.37,,,,,,,,explanation,
GFN2LC1TSQ1,0.6,,,,,,,,explanation,
GFN2LC1TSQ2,23.35,,,,,,,,explanation,
GFN2LC1TSQ3,9,2,21,,,,,,explanation,
GFN2LC2TDQ1,6,7,,,,,,,explanation,
GFN2LC2TDQ2,1,5,6,,,,,,explanation,
GFN2LC2TDQ3,6,5,,,,,,,explanation,
GFN2LC2TSQ1,6,7,,,,,,,explanation,
GFN2LC2TSQ2,1,5,6,,,,,,explanation,
GFN2LC2TSQ3,6,5,,,,,,,explanation,
GFN2LC3TDQ1,4,5,,,,,,,explanation,
GFN2LC3TDQ2,1,1,12,,,,,,explanation,
GFN2LC3TDQ3,2,11,21,,,,,,explanation,
GFN2LC3TSQ1,7,30,,,,,,,explanation,
GFN2LC3TSQ2,1,1,9,,,,,,explanation,
GFN2LC3TSQ3,5,11,15,,,,,,explanation,
GFN2LC4TDQ1,18,,,,,,,,explanation,
GFN2LC4TDQ2,5,6,,,,,,,explanation,
GFN2LC4TDQ3,2,1,4,,,,,,explanation,
GFN2LC4TSQ1,33,,,,,,,,explanation,
GFN2LC4TSQ2,2,21,,,,,,,explanation,
GFN2LC4TSQ3,5,6,,,,,,,explanation,
GFN2LC5TDQ1,"1/5, 23 %, 0.27, 23/50 ",,,,,,,,explanation,
GFN2LC5TDQ2,2,5,,,,,,,explanation,
GFN2LC5TDQ3,0.12,,,,,,,,explanation,
GFN2LC5TSQ1,"42%, 3/7, 4/9, 0.5",,,,,,,,explanation,
GFN2LC5TSQ2,YES,,,,,,,1,explanation,
GFN2LC5TSQ2,NO,,,,,,,0,explanation,
GFN2LC5TSQ3,0.07,,,,%,,,,explanation,
GFN2LC6TDQ1,4,,,,%,,,,explanation,
GFN2LC6TDQ2,24,,,,%,,,,explanation,
GFN2LC6TDQ3,25,,,,%,,,,explanation,
GFN2LC6TSQ1,46.4,,,,%,,,,explanation,
GFN2LC6TSQ2,18,,,£,,,,,explanation,
GFN2LC6TSQ3,56.25,,,,%,,,,explanation,
GFN2LC7TDQ1,180 000,,,£,,,,,explanation,
GFN2LC7TDQ2,5932.62,,,£,,,,,explanation,
GFN2LC7TDQ3,375,,,£,,,,,explanation,
GFN2LC7TSQ1,52,,,£,,,,,explanation,
GFN2LC7TSQ2,867,,,£,,,,,explanation,
GFN2LC7TSQ3,51.65,,,£,,,,,explanation,
GFN2LC8TDQ1,7.2 × 10⁻⁷,,,,,,,,explanation,
GFN2LC8TDQ2,7.3 × 10 ⁴ ,,,,,,,,explanation,
GFN2LC8TDQ3,2.2 x 10 ³,,,,,,,,explanation,
GFN2LC8TSQ1,6.003 × 10 ⁹,,,,,,,,explanation,
GFN2LC8TSQ2,5.1 x 10 ⁴,,,,,,,,explanation,
GFN2LC8TSQ3,1.3 x 10 ¹¹,,,,,,,,explanation,
GFN2LC9TDQ1,1,2,,,,,,,explanation,
GFN2LC9TDQ2,5,4,,,,,,,explanation,
GFN2LC9TDQ3,6.5,,,,,,,,explanation,
GFN2LC9TSQ1,1,5,,,,,,,explanation,
GFN2LC9TSQ2,9,2,,,,,,,explanation,
GFN2LC9TSQ3,122.5,,,,grams,,,,explanation,
