question_code,ans1_body,ans2_body,ans3_body,ans1_b,ans1_a,ans2_b,ans2_a,ans_correct,ans_explanation,ans_image
GFP1LC1TDQ1,1,52,,,,,,,explanation,
GFP1LC1TDQ2,0.8,,,,,,,,explanation,
GFP1LC1TSQ1,3,10,,,,,,,explanation,
GFP1LC1TSQ2,0.25,,,,,,,,explanation,
GFP1LC2TDQ1,45,,,,,,,,explanation,
GFP1LC2TDQ2,5,36,,,,,,,explanation,
GFP1LC2TSQ1,200,,,,,,,,explanation,
GFP1LC2TSQ2,1,12,,,,,,,explanation,
GFP1LC3TDQ1,0.28,,,,,,,,explanation,
GFP1LC3TDQ2,6,15,,,,,,,explanation,
GFP1LC3TSQ1,25,81,,,,,,,explanation,
GFP1LC3TSQ2,306,870,,,,,,,explanation,
GFP1LC4TDQ1,21,,,,,,,,explanation,
GFP1LC4TDQ2,3,10,,,,,,,explanation,
GFP1LC4TSQ1,7,30,,,,,,,explanation,
GFP1LC5TDQ1,2,5,,,,,,,explanation,
GFP1LC5TDQ2,6,,,,,,,,explanation,
GFP1LC5TSQ1,2,5,,,,,,,explanation,
GFP1LC5TSQ2,1,,,,,,,,explanation,
GFP1LC6TDQ1,13,28,,,,,,,explanation,
GFP1LC6TDQ2,146 people,,,,,,,,explanation,
GFP1LC6TSQ1,13 people,,,,,,,,explanation,
GFP1LC6TSQ2,4,7,,,,,,,explanation,
GFP1LC7TDQ1,Biased question,,,,,,,,explanation,
GFP1LC7TDQ2,No time-scale,,,,,,,,explanation,
GFP1LC7TSQ1,Sample size too small,,,,,,,,explanation,
GFP1LC7TSQ2,Overlapping regions,,,,,,,,explanation,
