question_code,ans1_body,ans2_body,ans3_body,ans1_b,ans1_a,ans2_b,ans2_a,ans_explanation,ans_image
GFS1LC1TDQ1,7,,,,1,,,explanation,
GFS1LC1TDQ2,A,,,,,,,explanation,
GFS1LC1TSQ1,280,,,,,,,explanation,
GFS1LC1TSQ2,2,,,,,,,explanation,
GFS1LC2TDQ1,153,,,,°,,,explanation,
GFS1LC2TDQ2,1,12,,,,,,explanation,
GFS1LC2TSQ1,90,,,,°,,,explanation,
GFS1LC2TSQ2,8,,,,,,,explanation,
GFS1LC3TDQ1,Negative,,,,,,,explanation,
GFS1LC3TDQ2,310,,,,,,,explanation,
GFS1LC3TSQ1,Positive ,,,,,,,explanation,
GFS1LC3TSQ2,6,,,,,,,explanation,
GFS1LC4TDQ1,5,,,,,,,explanation,
GFS1LC4TDQ2,3,,,,,,,explanation,
GFS1LC4TSQ1,2,,,,,,,explanation,
GFS1LC4TSQ2,2,5,5,,,,,explanation,
GFS1LC5TDQ1,2,,,,,,,explanation,
GFS1LC5TDQ2,4,,,,,,,explanation,
GFS1LC5TSQ1,5,,,,,,,explanation,
GFS1LC5TSQ2,5,,,,,,,explanation,
GFS1LC6TDQ1,25,,,,,,,explanation,
GFS1LC6TDQ2,32,,,,,,,explanation,
GFS1LC6TSQ1,34,,,,,,,explanation,
GFS1LC6TSQ2,24,,,,,,,explanation,
GFS1LC7TDQ1,Midpoint,,,,,,,explanation,
GFS1LC7TSQ1,25,,,,,,,explanation,
