question_name,question_body,question_type,question_image,question_mark,question_grade,question_code,lesson_code,quiz_code
Algebra Introduction  ,Write the following using algebraic notation: 6 x b,,,1,1,GFA1LC1TDQ1,GFA1LC1,GFA1TDQ
Algebra Introduction  ,"Sam had x dollars, later he doubled his money. Then his father gave him $5 more. Write an algebraic expression that represent how much Sam has now? ",,,1,1,GFA1LC1TDQ2,GFA1LC1,GFA1TDQ
Algebra Introduction  ,I think of a number add 5 and then multiply the result by 3 ,,,1,1,GFA1LC1TSQ1,GFA1LC1,GFA1TSQ
Algebra Introduction  ,Write the following using algebraic notation: 1 x y,,,1,1,GFA1LC1TSQ2,GFA1LC1,GFA1TSQ
Simplifying Expressions,Simplify these expressions:        –5f –7g + f + 7g ,,,1,2,GFA1LC2TDQ1,GFA1LC2,GFA1TDQ
Simplifying Expressions,Simplify these expressions:     -3a x -6a,,,1,2,GFA1LC2TDQ2,GFA1LC2,GFA1TDQ
Simplifying Expressions,Simplify these expressions:              32a⁵÷ 8a³,,,1,3,GFA1LC2TDQ3,GFA1LC2,GFA1TDQ
Simplifying Expressions,Simplify these expressions:          4c + 3d + 3 – 2c + 6 – d ,,,1,2,GFA1LC2TSQ1,GFA1LC2,GFA1TSQ
Simplifying Expressions,Simplify these expressions:             -3b⁶ x -b⁵ x -a,,,1,2,GFA1LC2TSQ2,GFA1LC2,GFA1TSQ
Simplifying Expressions,Simplify these expressions:                14n⁻⁴ ÷ 7n²,,,1,3,GFA1LC2TSQ3,GFA1LC2,GFA1TSQ
Expanding brackets,Expand the following:           -6x(4x – 2xy),,,1,2,GFA1LC3TDQ1,GFA1LC3,GFA1TDQ
Expanding brackets,Expand the following:   3(6x + 2y)  + 4 (y – 2x),,,1,3,GFA1LC3TDQ2,GFA1LC3,GFA1TDQ
Expanding brackets,Expand the following :        (2x + 4)(5x - 4),,,1,4,GFA1LC3TDQ3,GFA1LC3,GFA1TDQ
Expanding brackets,Expand the following :    6r(r - 2),,,1,2,GFA1LC3TSQ1,GFA1LC3,GFA1TSQ
Expanding brackets,Expand the following:   2(3n + 4) + 3(3n + 5),,,1,3,GFA1LC3TSQ2,GFA1LC3,GFA1TSQ
Expanding brackets,Expand the following :       (x-2)²,,,1,4,GFA1LC3TSQ3,GFA1LC3,GFA1TSQ
Factorising Expressions,Factorize the following:     4x²- 8xy ,,,1,3,GFA1LC4TDQ1,GFA1LC4,GFA1TDQ
Factorising Expressions,Factorize the following:       x² – 3x – 40,,,1,5,GFA1LC4TDQ2,GFA1LC4,GFA1TDQ
Factorising Expressions,Factorize the following:     5x²+ 15x ,,,1,3,GFA1LC4TSQ1,GFA1LC4,GFA1TSQ
Factorising Expressions,Factorize the following:    x² + 16x + 63 ,,,1,5,GFA1LC4TSQ2,GFA1LC4,GFA1TSQ
Solving Linear Equations ,Solve the following equations:                         2x+11=3,,,1,2,GFA1LC5TDQ1,GFA1LC5,GFA1TDQ
Solving Linear Equations ,Solve the following equations:                           2(x+3)=7,,,1,3,GFA1LC5TDQ2,GFA1LC5,GFA1TDQ
Solving Linear Equations ,Solve the following equations:                      7x + 3 = 13 + 2x,,,1,4,GFA1LC5TDQ3,GFA1LC5,GFA1TDQ
Solving Linear Equations ,Solve the following equations:                          3x- 4 = 3,,,1,2,GFA1LC5TSQ1,GFA1LC5,GFA1TSQ
