id      ,question_name     ,question_body,question_image,question_mark,question_grade,lesson_code,quiz_code
1,"Addition, Subtraction and Money problems  ",3.26 + 14.9,number1/..,1,2,GFN1LC1,GFN1TDQ
2,"Addition, Subtraction and Money problems  ",9 – 2.475,number1/..,1,2,GFN1LC1,GFN1TDQ
3,"Addition, Subtraction and Money problems  ",A packet of biscuit costs 56p. A bottle of cola costs £1.14. John buys 4 packets of biscuits and one bottle of cola. She pays with a £10 note. Work out how much change she should get?,number1/..,1,2,GFN1LC1,GFN1TDQ
4,"Addition, Subtraction and Money problems  ",5.8 + 0.34,number1/..,1,2,GFN1LC1,GFN1TSQ
5,"Addition, Subtraction and Money problems  ",4.79 - 1.2,number1/..,1,2,GFN1LC1,GFN1TSQ
6,"Addition, Subtraction and Money problems  ",What change would you receive from £10.27 if you bought goods worth £4.56?,number1/..,1,2,GFN1LC1,GFN1TSQ
7,Place Value and Decimals,"Write the following numbers in figures?
Fifty five million, nine hundred  sixty two  thousand, eight hundred  fifty six ",number1/..,1,1,GFN1LC2,GFN1TDQ
8,Place Value and Decimals,"Write the value of the number 6?
965,888,702. ",number1/..,1,1,GFN1LC2,GFN1TDQ
9,Place Value and Decimals,"Write the following numbers in figures?
One hundred and twenty-five thousandths",number1/..,1,1,GFN1LC2,GFN1TDQ
10,Place Value and Decimals,"Write the following numbers in figures?
Six hundred and nineteen thousand",number1/..,1,1,GFN1LC2,GFN1TSQ
11,Place Value and Decimals,"Write the value of the number 6?
11, 657, 554 ",number1/..,1,1,GFN1LC2,GFN1TSQ
12,Place Value and Decimals,"Write the following numbers in figures?
Six thousand forty and nine tenths",number1/..,1,1,GFN1LC2,GFN1TSQ
13,Negative Numbers, 4 -44,number1/..,1,2,GFN1LC3,GFN1TDQ
14,Negative Numbers,-13,number1/..,1,2,GFN1LC3,GFN1TDQ
15,Negative Numbers,3 × –8 ÷ -3 ,number1/..,1,2,GFN1LC3,GFN1TDQ
16,Negative Numbers,-50,number1/..,1,2,GFN1LC3,GFN1TSQ
17,Negative Numbers,6 - + 30 ,number1/..,1,2,GFN1LC3,GFN1TSQ
18,Negative Numbers,45 ÷ -9 ÷ -5 ,number1/..,1,2,GFN1LC3,GFN1TSQ
19,Multiplication and Division,585 x 78,number1/..,1,3,GFN1LC4,GFN1TDQ
20,Multiplication and Division,0.03  x 1.1,number1/..,1,3,GFN1LC4,GFN1TDQ
21,Multiplication and Division,746.78 ÷ 4 ,number1/..,1,3,GFN1LC4,GFN1TDQ
22,Multiplication and Division,43 x 13,number1/..,1,3,GFN1LC4,GFN1TSQ
23,Multiplication and Division,0.1 x 1.1,number1/..,1,3,GFN1LC4,GFN1TSQ
